Team,Power Level,
Extra team 20396,2.92,
Extra team 20397,74.22,
Extra team 20398,86.65,
Extra team 20399,69.98,
Extra team 20400,67.4,
Extra team 20401,4.73,
Extra team 20402,93.75,
Extra team 20403,48.07,
Extra team 20404,17.85,
Extra team 20405,92.81,
Extra team 20406,4.62,
Extra team 20407,5.77,
Extra team 20408,49.85,
Extra team 20409,85.68,
Extra team 20410,84.31,
Extra team 20411,19.71,
Extra team 20412,34.53,
Extra team 20413,17.31,
Extra team 20414,55.5,
Extra team 20415,23.33,
Extra team 20416,11.47,
Extra team 20417,46.62,
Extra team 20418,88.2,
Extra team 20419,6.25,
Extra team 20420,71.18,
Extra team 20421,30.93,
Extra team 20422,98.53,
Extra team 20423,53.29,
Extra team 20424,75.38,
Extra team 20425,20.7,
Extra team 20426,84.7,
Extra team 20427,69.2,
Extra team 20428,96.07,
Extra team 20429,19.82,
Extra team 20430,93.2,
Extra team 20431,18,
Extra team 20432,75.77,
Extra team 20433,8.75,
Extra team 20434,48.86,
Extra team 20435,51.24,
Extra team 20436,39.24,
Extra team 20437,78.72,
Extra team 20438,62.14,
Extra team 20439,96.54,
Extra team 20440,71.13,
Extra team 20441,35.78,
Extra team 20442,10.5,
Extra team 20443,32.74,
Extra team 20444,93.59,
Extra team 20445,52.96,
Extra team 20446,40.97,
Extra team 20447,93.9,
Extra team 20448,12.16,
Extra team 20449,71.61,
Extra team 20450,36.07,
Extra team 20451,2.8,
Extra team 20452,70.69,
Extra team 20453,51.43,
Extra team 20454,63.55,
Extra team 20455,63.83,
Extra team 20456,88.91,
Extra team 20457,54.54,
Extra team 20458,56.69,
Extra team 20459,8.41,
Extra team 20460,73.56,
Extra team 20461,14.46,
Extra team 20462,19.09,
Extra team 20463,79.91,
Extra team 20464,22.67,
Extra team 20465,89.57,
Extra team 20466,9.62,
Extra team 20467,82.09,
Extra team 20468,70.82,
Extra team 20469,18.65,
Extra team 20470,58.47,
Extra team 20471,80.36,
Extra team 20472,80.84,
Extra team 20473,75.29,
Extra team 20474,80.37,
Extra team 20475,86.67,
Extra team 20476,85.98,
Extra team 20477,11.38,
Extra team 20478,6.24,
Extra team 20479,69.31,
Extra team 20480,29.51,
Extra team 20481,7.43,
Extra team 20482,50.01,
Extra team 20483,22.82,
Extra team 20484,47.42,
Extra team 20485,57.61,
Extra team 20486,88.37,
Extra team 20487,44.97,
Extra team 20488,93.93,
Extra team 20489,32.36,
Extra team 20490,74.43,
Extra team 20491,68.5,
Extra team 20492,56.51,
Extra team 20493,59.36,
Extra team 20494,30.15,
Extra team 20495,13.21,
Extra team 20496,13.48,
Extra team 20497,79.14,
Extra team 20498,87.93,
Extra team 20499,68.27,
Extra team 20500,90.22,
Extra team 20501,86.56,
Extra team 20502,77.31,
Extra team 20503,98.45,
Extra team 20504,41.89,
Extra team 20505,87.91,
Extra team 20506,39.59,
Extra team 20507,56.12,
Extra team 20508,40.41,
Extra team 20509,96.13,
Extra team 20510,68.83,
Extra team 20511,75.86,
Extra team 20512,44.82,
Extra team 20513,86.78,
Extra team 20514,57.36,
Extra team 20515,42.04,
Extra team 20516,15.5,
Extra team 20517,83.74,
Extra team 20518,41.54,
Extra team 20519,77.7,
Extra team 20520,20.79,
Extra team 20521,33.28,
Extra team 20522,44.61,
Extra team 20523,76.74,
Extra team 20524,77.81,
Extra team 20525,33.27,
Extra team 20526,32.27,
Extra team 20527,23.31,
Extra team 20528,21.79,
Extra team 20529,93.23,
Extra team 20530,30.3,
Extra team 20531,13.62,
Extra team 20532,1.37,
Extra team 20533,13.15,
Extra team 20534,70.89,
Extra team 20535,28.61,
Extra team 20536,51.35,
Extra team 20537,11.92,
Extra team 20538,69.91,
Extra team 20539,64.19,
Extra team 20540,38.14,
Extra team 20541,79.32,
Extra team 20542,49.77,
Extra team 20543,84.39,
Extra team 20544,11.6,
Extra team 20545,28.1,
Extra team 20546,89.33,
Extra team 20547,49.75,
Extra team 20548,36.41,
Extra team 20549,71.99,
Extra team 20550,30.79,
Extra team 20551,86.24,
Extra team 20552,52.8,
Extra team 20553,83.12,
Extra team 20554,38.6,
Extra team 20555,43.93,
Extra team 20556,74.65,
Extra team 20557,11.16,
Extra team 20558,46.59,
Extra team 20559,64.09,
Extra team 20560,58.65,
Extra team 20561,92.68,
Extra team 20562,49.36,
Extra team 20563,68.63,
Extra team 20564,22.41,
Extra team 20565,40.53,
Extra team 20566,97.87,
Extra team 20567,82.9,
Extra team 20568,16.43,
Extra team 20569,54.66,
Extra team 20570,70.65,
Extra team 20571,94.22,
Extra team 20572,99.96,
Extra team 20573,4.44,
Extra team 20574,76.77,
Extra team 20575,7.85,
Extra team 20576,72.63,
Extra team 20577,12.25,
Extra team 20578,22.31,
Extra team 20579,27.65,
Extra team 20580,2.4,
Extra team 20581,72.11,
Extra team 20582,51.37,
Extra team 20583,94.29,
Extra team 20584,37.25,
Extra team 20585,19.4,
Extra team 20586,75.53,
Extra team 20587,44.95,
Extra team 20588,95.05,
Extra team 20589,79.46,
Extra team 20590,62.02,
Extra team 20591,96.29,
Extra team 20592,61.96,
Extra team 20593,10.57,
Extra team 20594,49.82,
Extra team 20595,91.04,
Extra team 20596,91.62,
Extra team 20597,1.94,
Extra team 20598,18.51,
Extra team 20599,99.56,
Extra team 20600,99.42,
Extra team 20601,14.8,
Extra team 20602,21.76,
Extra team 20603,27.46,
Extra team 20604,63.4,
Extra team 20605,48.25,
Extra team 20606,44.37,
Extra team 20607,32.09,
Extra team 20608,68.98,
Extra team 20609,47.67,
Extra team 20610,55.34,
Extra team 20611,52.91,
Extra team 20612,100,
Extra team 20613,65.12,
Extra team 20614,51.63,
Extra team 20615,51.56,
Extra team 20616,87.29,
Extra team 20617,15.97,
Extra team 20618,51.96,
Extra team 20619,77.32,
Extra team 20620,59.93,
Extra team 20621,47.85,
Extra team 20622,20.99,
Extra team 20623,39.18,
Extra team 20624,80.9,
Extra team 20625,88.96,
Extra team 20626,70.95,
Extra team 20627,81.09,
Extra team 20628,8.86,
Extra team 20629,63.72,
Extra team 20630,87.25,
Extra team 20631,73.71,
Extra team 20632,9.44,
Extra team 20633,11.37,
Extra team 20634,6.03,
Extra team 20635,85.44,
Extra team 20636,81.11,
Extra team 20637,56.84,
Extra team 20638,24.05,
Extra team 20639,35.78,
Extra team 20640,35.27,
Extra team 20641,51.38,
Extra team 20642,80.79,
Extra team 20643,40.64,
Extra team 20644,58.88,
Extra team 20645,94.49,
Extra team 20646,81.88,
Extra team 20647,68.12,
Extra team 20648,24.57,
Extra team 20649,71.32,
Extra team 20650,80.15,
Extra team 20651,31.52,
Extra team 20652,27.34,
Extra team 20653,43.5,
Extra team 20654,3.67,
Extra team 20655,86.32,
Extra team 20656,80.46,
Extra team 20657,79.75,
Extra team 20658,42.07,
Extra team 20659,94.59,
Extra team 20660,89.01,
Extra team 20661,63.51,
Extra team 20662,1.96,
Extra team 20663,31.08,
Extra team 20664,32.64,
Extra team 20665,43.62,
Extra team 20666,95.11,
Extra team 20667,72.5,
Extra team 20668,15.68,
Extra team 20669,35.51,
Extra team 20670,91.66,
Extra team 20671,89.34,
Extra team 20672,54.36,
Extra team 20673,56.99,
Extra team 20674,55.59,
Extra team 20675,26.41,
Extra team 20676,46.16,
Extra team 20677,14.21,
Extra team 20678,39.3,
Extra team 20679,31.97,
Extra team 20680,66.49,
Extra team 20681,64.66,
Extra team 20682,54.39,
Extra team 20683,28.86,
Extra team 20684,45.22,
Extra team 20685,32.84,
Extra team 20686,36.04,
Extra team 20687,12.56,
Extra team 20688,50.05,
Extra team 20689,40.29,
Extra team 20690,31.46,
Extra team 20691,0.5,
Extra team 20692,8.98,
Extra team 20693,93.42,
Extra team 20694,2.72,
Extra team 20695,91.02,
Extra team 20696,19.86,
Extra team 20697,8.32,
Extra team 20698,35.24,
Extra team 20699,70.01,
Extra team 20700,81.54,
Extra team 20701,82.72,
Extra team 20702,5.12,
Extra team 20703,4.1,
Extra team 20704,38.07,
Extra team 20705,56.29,
Extra team 20706,89.95,
Extra team 20707,77.39,
Extra team 20708,4.03,
Extra team 20709,68.56,
Extra team 20710,26.38,
Extra team 20711,76.99,
Extra team 20712,11.19,
Extra team 20713,25.47,
Extra team 20714,62.67,
Extra team 20715,18.68,
Extra team 20716,52.16,
Extra team 20717,28.23,
Extra team 20718,20.61,
Extra team 20719,59.74,
Extra team 20720,34.76,
Extra team 20721,82.94,
Extra team 20722,33.77,
Extra team 20723,42.51,
Extra team 20724,10.01,
Extra team 20725,93.98,
Extra team 20726,35.11,
Extra team 20727,24.01,
Extra team 20728,83.16,
Extra team 20729,3.26,
Extra team 20730,71.04,
Extra team 20731,48.87,
Extra team 20732,36.33,
Extra team 20733,53.07,
Extra team 20734,10.57,
Extra team 20735,15.38,
Extra team 20736,93.9,
Extra team 20737,9.59,
Extra team 20738,36.98,
Extra team 20739,54.61,
Extra team 20740,31.71,
Extra team 20741,76.57,
Extra team 20742,53.67,
Extra team 20743,67.46,
Extra team 20744,58.97,
Extra team 20745,2.62,
Extra team 20746,26.29,
Extra team 20747,94.45,
Extra team 20748,73.33,
Extra team 20749,48.58,
Extra team 20750,94.86,
Extra team 20751,0.58,
Extra team 20752,98.08,
Extra team 20753,25.02,
Extra team 20754,51.39,
Extra team 20755,34.15,
Extra team 20756,96.34,
Extra team 20757,55.35,
Extra team 20758,93.77,
Extra team 20759,67.76,
Extra team 20760,43.21,
Extra team 20761,82.38,
Extra team 20762,29.89,
Extra team 20763,2.26,
Extra team 20764,39.99,
Extra team 20765,65.86,
Extra team 20766,23.58,
Extra team 20767,64.63,
Extra team 20768,8.52,
Extra team 20769,14.4,
Extra team 20770,54.38,
Extra team 20771,45.75,
Extra team 20772,60.72,
Extra team 20773,48.37,
Extra team 20774,16.82,
Extra team 20775,51.46,
Extra team 20776,91.84,
Extra team 20777,79.3,
Extra team 20778,38.93,
Extra team 20779,61.43,
Extra team 20780,28.23,
Extra team 20781,67.92,
Extra team 20782,4.65,
Extra team 20783,76.64,
Extra team 20784,12.7,
Extra team 20785,26.88,
Extra team 20786,17.67,
Extra team 20787,54.3,
Extra team 20788,49.54,
Extra team 20789,28.99,
Extra team 20790,59.73,
Extra team 20791,64.22,
Extra team 20792,3.84,
Extra team 20793,33.98,
Extra team 20794,30.88,
Extra team 20795,11.36,
Extra team 20796,83.93,
Extra team 20797,34.68,
Extra team 20798,49.64,
Extra team 20799,36.14,
Extra team 20800,68.13,
Extra team 20801,7.6,
Extra team 20802,93.92,
Extra team 20803,50.04,
Extra team 20804,51.98,
Extra team 20805,39.76,
Extra team 20806,36.8,
Extra team 20807,86.95,
Extra team 20808,61.78,
Extra team 20809,33.66,
Extra team 20810,8.1,
Extra team 20811,3.59,
Extra team 20812,74.99,
Extra team 20813,87.24,
Extra team 20814,96.07,
Extra team 20815,24.6,
Extra team 20816,61.28,
Extra team 20817,79.26,
Extra team 20818,44.38,
Extra team 20819,47.32,
Extra team 20820,77.04,
Extra team 20821,64.75,
Extra team 20822,5.67,
Extra team 20823,63.09,
Extra team 20824,60.08,
Extra team 20825,24.19,
Extra team 20826,12.7,
Extra team 20827,58.34,
Extra team 20828,82,
Extra team 20829,63.86,
Extra team 20830,13.97,
Extra team 20831,2.03,
Extra team 20832,57.66,
Extra team 20833,68.8,
Extra team 20834,46.52,
Extra team 20835,42.89,
Extra team 20836,35.65,
Extra team 20837,2.02,
Extra team 20838,63.17,
Extra team 20839,80.72,
Extra team 20840,21.05,
Extra team 20841,81.43,
Extra team 20842,62.99,
Extra team 20843,12.27,
Extra team 20844,21.29,
Extra team 20845,60.11,
Extra team 20846,82.01,
Extra team 20847,76.91,
Extra team 20848,28.35,
Extra team 20849,13.05,
Extra team 20850,26.82,
Extra team 20851,6.7,
Extra team 20852,70.94,
Extra team 20853,9.43,
Extra team 20854,90.6,
Extra team 20855,31.52,
Extra team 20856,65.17,
Extra team 20857,2.94,
Extra team 20858,40.86,
Extra team 20859,74.15,
Extra team 20860,13.04,
Extra team 20861,18.18,
Extra team 20862,62.08,
Extra team 20863,62.29,
Extra team 20864,23.28,
Extra team 20865,8.53,
Extra team 20866,20.69,
Extra team 20867,1.32,
Extra team 20868,25.93,
Extra team 20869,78.25,
Extra team 20870,8,
Extra team 20871,69.42,
Extra team 20872,92.1,
Extra team 20873,69.01,
Extra team 20874,69.64,
Extra team 20875,97.88,
Extra team 20876,49.08,
Extra team 20877,33.34,
Extra team 20878,48.06,
Extra team 20879,47.74,
Extra team 20880,99.84,
Extra team 20881,16.58,
Extra team 20882,34.24,
Extra team 20883,64.82,
Extra team 20884,42.6,
Extra team 20885,7.81,
Extra team 20886,7.57,
Extra team 20887,8.25,
Extra team 20888,70.62,
Extra team 20889,64.92,
Extra team 20890,25.87,
Extra team 20891,56.43,
Extra team 20892,79.57,
Extra team 20893,25.22,
Extra team 20894,4.58,
Extra team 20895,91.02,
Extra team 20896,98.64,
Extra team 20897,99.86,
Extra team 20898,80.97,
Extra team 20899,40.6,
Extra team 20900,73.04,
Extra team 20901,24.45,
Extra team 20902,58.41,
Extra team 20903,41.63,
Extra team 20904,32.3,
Extra team 20905,95.77,
Extra team 20906,49.99,
Extra team 20907,91.19,
Extra team 20908,14.35,
Extra team 20909,46.2,
Extra team 20910,45.75,
Extra team 20911,3.64,
Extra team 20912,36.76,
Extra team 20913,13.19,
Extra team 20914,96.9,
Extra team 20915,3.31,
Extra team 20916,82.03,
Extra team 20917,2.74,
Extra team 20918,94.26,
Extra team 20919,68.12,
Extra team 20920,98.36,
Extra team 20921,51.83,
Extra team 20922,24.14,
Extra team 20923,14.46,
Extra team 20924,71.53,
Extra team 20925,52.48,
Extra team 20926,7.55,
Extra team 20927,15.49,
Extra team 20928,44.16,
Extra team 20929,68.09,
Extra team 20930,99.1,
Extra team 20931,89.36,
Extra team 20932,77.18,
Extra team 20933,55.49,
Extra team 20934,28.95,
Extra team 20935,39.74,
Extra team 20936,83.71,
Extra team 20937,76.22,
Extra team 20938,59.28,
Extra team 20939,38.73,
Extra team 20940,83.85,
Extra team 20941,47.71,
Extra team 20942,48.07,
Extra team 20943,13.06,
Extra team 20944,39.29,
Extra team 20945,51.72,
Extra team 20946,41.51,
Extra team 20947,29.9,
Extra team 20948,16.47,
Extra team 20949,21.92,
Extra team 20950,47,
Extra team 20951,76.73,
Extra team 20952,36.13,
Extra team 20953,57.32,
Extra team 20954,26.72,
Extra team 20955,81.64,
Extra team 20956,21.58,
Extra team 20957,14.61,
Extra team 20958,79.06,
Extra team 20959,11.79,
Extra team 20960,63.13,
Extra team 20961,80.53,
Extra team 20962,69.59,
Extra team 20963,20.92,
Extra team 20964,38.26,
Extra team 20965,49.18,
Extra team 20966,95.78,
Extra team 20967,84.54,
Extra team 20968,51.63,
Extra team 20969,34.02,
Extra team 20970,87.73,
Extra team 20971,90.33,
Extra team 20972,17.91,
Extra team 20973,40.19,
Extra team 20974,9.04,
Extra team 20975,53.22,
Extra team 20976,27.25,
Extra team 20977,66.07,
Extra team 20978,97.57,
Extra team 20979,44.49,
Extra team 20980,96.57,
Extra team 20981,13.73,
Extra team 20982,95.42,
Extra team 20983,70.06,
Extra team 20984,57.44,
Extra team 20985,57.31,
Extra team 20986,65.62,
Extra team 20987,97.12,
Extra team 20988,67.74,
Extra team 20989,31.24,
Extra team 20990,19.68,
Extra team 20991,35.25,
Extra team 20992,81.23,
Extra team 20993,27.75,
Extra team 20994,59.78,
Extra team 20995,89.19,
Extra team 20996,40.08,
Extra team 20997,75.76,
Extra team 20998,29.77,
Extra team 20999,73.25,
Extra team 21000,26.65,
Extra team 21001,55.42,
Extra team 21002,53.05,
Extra team 21003,38.67,
Extra team 21004,53.86,
Extra team 21005,18.22,
Extra team 21006,99.73,
Extra team 21007,38.92,
Extra team 21008,93.8,
Extra team 21009,60.11,
Extra team 21010,40.91,
Extra team 21011,61.52,
Extra team 21012,47.62,
Extra team 21013,65.01,
Extra team 21014,40.72,
Extra team 21015,56.62,
Extra team 21016,59.47,
Extra team 21017,29.32,
Extra team 21018,19.15,
Extra team 21019,31.51,
Extra team 21020,20.97,
Extra team 21021,10.34,
Extra team 21022,46.69,
Extra team 21023,60.4,
Extra team 21024,58.63,
Extra team 21025,47.6,
Extra team 21026,91.98,
Extra team 21027,12.13,
Extra team 21028,57.78,
Extra team 21029,91.47,
Extra team 21030,61.47,
Extra team 21031,83.1,
Extra team 21032,55.95,
Extra team 21033,99.25,
Extra team 21034,30.79,
Extra team 21035,65.45,
Extra team 21036,59.15,
Extra team 21037,46.67,
Extra team 21038,51.79,
Extra team 21039,38.96,
Extra team 21040,97.52,
Extra team 21041,65.24,
Extra team 21042,68.04,
Extra team 21043,58.52,
Extra team 21044,42.71,
Extra team 21045,49.77,
Extra team 21046,1.83,
Extra team 21047,72.31,
Extra team 21048,10.9,
Extra team 21049,64.51,
Extra team 21050,62.08,
Extra team 21051,9.9,
Extra team 21052,11.4,
Extra team 21053,50.59,
Extra team 21054,0.29,
Extra team 21055,33.05,
Extra team 21056,0.26,
Extra team 21057,3.34,
Extra team 21058,9.39,
Extra team 21059,28.16,
Extra team 21060,85.09,
Extra team 21061,40.4,
Extra team 21062,3.49,
Extra team 21063,41.4,
Extra team 21064,11.26,
Extra team 21065,37.25,
Extra team 21066,46.63,
Extra team 21067,49.73,
Extra team 21068,26.38,
Extra team 21069,33.32,
Extra team 21070,21.07,
Extra team 21071,95.89,
Extra team 21072,37.73,
Extra team 21073,7.77,
Extra team 21074,37.62,
Extra team 21075,14.13,
Extra team 21076,19.76,
Extra team 21077,30.64,
Extra team 21078,84.43,
Extra team 21079,26.22,
Extra team 21080,53.2,
Extra team 21081,38.59,
Extra team 21082,31.8,
Extra team 21083,79.87,
Extra team 21084,67.38,
Extra team 21085,84.81,
Extra team 21086,21.25,
Extra team 21087,37.27,
Extra team 21088,94.07,
Extra team 21089,1.57,
Extra team 21090,85.47,
Extra team 21091,44.94,
Extra team 21092,0.95,
Extra team 21093,23.44,
Extra team 21094,86.31,
Extra team 21095,50.64,
Extra team 21096,93.28,
Extra team 21097,40.97,
Extra team 21098,5.96,
Extra team 21099,71.67,
Extra team 21100,27.78,
Extra team 21101,84.71,
Extra team 21102,23.81,
Extra team 21103,7.48,
Extra team 21104,66.65,
Extra team 21105,54.66,
Extra team 21106,91.57,
Extra team 21107,23.37,
Extra team 21108,41.54,
Extra team 21109,17.12,
Extra team 21110,94.94,
Extra team 21111,65.13,
Extra team 21112,34.79,
Extra team 21113,19.89,
Extra team 21114,11.62,
Extra team 21115,41.37,
Extra team 21116,23.03,
Extra team 21117,15.17,
Extra team 21118,38.57,
Extra team 21119,73.13,
Extra team 21120,71.25,
Extra team 21121,18.29,
Extra team 21122,31.92,
Extra team 21123,51.59,
Extra team 21124,42.3,
Extra team 21125,66.03,
Extra team 21126,98.65,
Extra team 21127,56.88,
Extra team 21128,16.14,
Extra team 21129,81.48,
Extra team 21130,3.21,
Extra team 21131,90.88,
Extra team 21132,83.97,
Extra team 21133,33.35,
Extra team 21134,93,
Extra team 21135,6.32,
Extra team 21136,65.67,
Extra team 21137,85.83,
Extra team 21138,50.13,
Extra team 21139,55.82,
Extra team 21140,7.91,
Extra team 21141,50.13,
Extra team 21142,40.47,
Extra team 21143,8.67,
Extra team 21144,55.19,
Extra team 21145,92.15,
Extra team 21146,46.3,
Extra team 21147,60.14,
Extra team 21148,17.95,
Extra team 21149,20.38,
Extra team 21150,58.52,
Extra team 21151,66.21,
Extra team 21152,75.18,
Extra team 21153,53.07,
Extra team 21154,99.36,
Extra team 21155,19.92,
Extra team 21156,86.35,
Extra team 21157,35.63,
Extra team 21158,96.39,
Extra team 21159,2.68,
Extra team 21160,94.56,
Extra team 21161,79.33,
Extra team 21162,29.23,
Extra team 21163,43.04,
Extra team 21164,68.96,
Extra team 21165,21.68,
Extra team 21166,20.67,
Extra team 21167,18.05,
Extra team 21168,81.66,
Extra team 21169,80.61,
Extra team 21170,44.07,
Extra team 21171,11.23,
Extra team 21172,86.79,
Extra team 21173,63.9,
Extra team 21174,43.96,
Extra team 21175,15.35,
Extra team 21176,97.95,
Extra team 21177,61.18,
Extra team 21178,92.97,
Extra team 21179,80.41,
Extra team 21180,19.1,
Extra team 21181,77.35,
Extra team 21182,6.27,
Extra team 21183,4.2,
Extra team 21184,14.04,
Extra team 21185,31.27,
Extra team 21186,74.63,
Extra team 21187,78.66,
Extra team 21188,14.83,
Extra team 21189,39.37,
Extra team 21190,99.6,
Extra team 21191,8.44,
Extra team 21192,45.36,
Extra team 21193,80.81,
Extra team 21194,53.23,
Extra team 21195,62.81,
Extra team 21196,55.53,
Extra team 21197,77.17,
Extra team 21198,59.18,
Extra team 21199,75.78,
Extra team 21200,75.57,
Extra team 21201,96.89,
Extra team 21202,15.29,
Extra team 21203,92.82,
Extra team 21204,43.21,
Extra team 21205,67.12,
Extra team 21206,45.32,
Extra team 21207,26.6,
Extra team 21208,53.53,
Extra team 21209,17.14,
Extra team 21210,2.07,
Extra team 21211,34.22,
Extra team 21212,66.67,
Extra team 21213,41.53,
Extra team 21214,70.6,
Extra team 21215,6.77,
Extra team 21216,69.86,
Extra team 21217,73.01,
Extra team 21218,14.81,
Extra team 21219,95.01,
Extra team 21220,74.63,
Extra team 21221,60.16,
Extra team 21222,79.06,
Extra team 21223,52.33,
Extra team 21224,12.79,
Extra team 21225,55.54,
Extra team 21226,27.9,
Extra team 21227,12.98,
Extra team 21228,40.89,
Extra team 21229,35.7,
Extra team 21230,96.15,
Extra team 21231,79.19,
Extra team 21232,44.18,
Extra team 21233,16.72,
Extra team 21234,53.44,
Extra team 21235,57.41,
Extra team 21236,92.37,
Extra team 21237,3.34,
Extra team 21238,20.09,
Extra team 21239,3.56,
Extra team 21240,36.82,
Extra team 21241,86.99,
Extra team 21242,41.18,
Extra team 21243,39.76,
Extra team 21244,60.42,
Extra team 21245,41.72,
Extra team 21246,13.61,
Extra team 21247,86.73,
Extra team 21248,13.68,
Extra team 21249,56.61,
Extra team 21250,56.48,
Extra team 21251,89.81,
Extra team 21252,22.32,
Extra team 21253,68.57,
Extra team 21254,36.32,
Extra team 21255,83.24,
Extra team 21256,23.9,
Extra team 21257,44.34,
Extra team 21258,52.79,
Extra team 21259,43.88,
Extra team 21260,7.68,
Extra team 21261,61.38,
Extra team 21262,0.04,
Extra team 21263,9.78,
Extra team 21264,70.28,
Extra team 21265,42.86,
Extra team 21266,58.61,
Extra team 21267,74.18,
Extra team 21268,55.81,
Extra team 21269,10.42,
Extra team 21270,75.99,
Extra team 21271,85.16,
Extra team 21272,56.04,
Extra team 21273,38.84,
Extra team 21274,42.62,
Extra team 21275,58.96,
Extra team 21276,80.57,
Extra team 21277,92.07,
Extra team 21278,88.23,
Extra team 21279,32.38,
Extra team 21280,80.02,
Extra team 21281,64.56,
Extra team 21282,11.75,
Extra team 21283,8.61,
Extra team 21284,32.71,
Extra team 21285,72.59,
Extra team 21286,96.5,
Extra team 21287,85.11,
Extra team 21288,78.05,
Extra team 21289,8.31,
Extra team 21290,40.44,
Extra team 21291,63.85,
Extra team 21292,60.66,
Extra team 21293,52.28,
Extra team 21294,69.65,
Extra team 21295,68.01,
Extra team 21296,98.84,
Extra team 21297,8.96,
Extra team 21298,37.99,
Extra team 21299,27.71,
Extra team 21300,6.31,
Extra team 21301,93.18,
Extra team 21302,71.63,
Extra team 21303,26.51,
Extra team 21304,98.09,
Extra team 21305,40.39,
Extra team 21306,51.68,
Extra team 21307,5.96,
Extra team 21308,84.87,
Extra team 21309,43.17,
Extra team 21310,44.91,
Extra team 21311,37.88,
Extra team 21312,87.27,
Extra team 21313,90.77,
Extra team 21314,35.77,
Extra team 21315,3.34,
Extra team 21316,61.43,
Extra team 21317,49.35,
Extra team 21318,22.78,
Extra team 21319,50,
Extra team 21320,54.94,
Extra team 21321,65.09,
Extra team 21322,80.73,
Extra team 21323,60.64,
Extra team 21324,38.45,
Extra team 21325,66.06,
Extra team 21326,57.02,
Extra team 21327,36.04,
Extra team 21328,44.6,
Extra team 21329,29.71,
Extra team 21330,26.4,
Extra team 21331,17.85,
Extra team 21332,55.25,
Extra team 21333,31.55,
Extra team 21334,45.53,
Extra team 21335,82.05,
Extra team 21336,48.94,
Extra team 21337,77.24,
Extra team 21338,38.4,
Extra team 21339,81.99,
Extra team 21340,91.89,
Extra team 21341,91.46,
Extra team 21342,63.9,
Extra team 21343,71.38,
Extra team 21344,1.87,
Extra team 21345,59.95,
Extra team 21346,33.05,
Extra team 21347,74.29,
Extra team 21348,2.33,
Extra team 21349,94.05,
Extra team 21350,46.53,
Extra team 21351,8.61,
Extra team 21352,40.02,
Extra team 21353,23.3,
Extra team 21354,95.55,
Extra team 21355,90.87,
Extra team 21356,83.17,
Extra team 21357,57.51,
Extra team 21358,96.67,
Extra team 21359,94.1,
Extra team 21360,81.56,
Extra team 21361,7.77,
Extra team 21362,57.86,
Extra team 21363,66.81,
Extra team 21364,64.47,
Extra team 21365,34.61,
Extra team 21366,0.36,
Extra team 21367,35.47,
Extra team 21368,62.88,
Extra team 21369,33.99,
Extra team 21370,96.52,
Extra team 21371,64.1,
Extra team 21372,12.93,
Extra team 21373,35.7,
Extra team 21374,86.95,
Extra team 21375,33.94,
Extra team 21376,27.52,
Extra team 21377,63.63,
Extra team 21378,4.43,
Extra team 21379,97.73,
Extra team 21380,23.54,
Extra team 21381,16.29,
Extra team 21382,67.67,
Extra team 21383,86.16,
Extra team 21384,11.99,
Extra team 21385,5.32,
Extra team 21386,3.78,
Extra team 21387,69.23,
Extra team 21388,81.71,
Extra team 21389,1.41,
Extra team 21390,58.52,
Extra team 21391,66.66,
Extra team 21392,80.92,
Extra team 21393,76.05,
Extra team 21394,35.76,
Extra team 21395,45.16,
Extra team 21396,86.54,
Extra team 21397,17.51,
Extra team 21398,67.45,
Extra team 21399,88.5,
Extra team 21400,89.83,
Extra team 21401,45.83,
Extra team 21402,21.03,
Extra team 21403,92.69,
Extra team 21404,78.62,
Extra team 21405,93.74,
Extra team 21406,67.02,
Extra team 21407,0.52,
Extra team 21408,56.68,
Extra team 21409,20.07,
Extra team 21410,32.53,
Extra team 21411,73.15,
Extra team 21412,36.68,
Extra team 21413,61.7,
Extra team 21414,36.91,
Extra team 21415,1.14,
Extra team 21416,85.49,
Extra team 21417,41.84,
Extra team 21418,85.79,
Extra team 21419,34.37,
Extra team 21420,58.09,
Extra team 21421,16.49,
Extra team 21422,98.16,
Extra team 21423,91.54,
Extra team 21424,71.27,
Extra team 21425,12.36,
Extra team 21426,22.89,
Extra team 21427,0.49,
Extra team 21428,93.97,
Extra team 21429,49.22,
Extra team 21430,39.6,
Extra team 21431,59.13,
Extra team 21432,30.77,
Extra team 21433,58.14,
Extra team 21434,87.88,
Extra team 21435,45.95,
Extra team 21436,82.66,
Extra team 21437,42.79,
Extra team 21438,60.58,
Extra team 21439,75.82,
Extra team 21440,92.43,
Extra team 21441,63.28,
Extra team 21442,48.87,
Extra team 21443,85.02,
Extra team 21444,42.97,
Extra team 21445,95.23,
Extra team 21446,88.38,
Extra team 21447,38.26,
Extra team 21448,65.78,
Extra team 21449,39.71,
Extra team 21450,96.49,
Extra team 21451,33.8,
Extra team 21452,44.06,
Extra team 21453,28.23,
Extra team 21454,97.67,
Extra team 21455,39.99,
Extra team 21456,73.29,
Extra team 21457,7.53,
Extra team 21458,90.87,
Extra team 21459,56.08,
Extra team 21460,85.38,
Extra team 21461,7.22,
Extra team 21462,70.53,
Extra team 21463,36.31,
Extra team 21464,35.61,
Extra team 21465,16.64,
Extra team 21466,18.69,
Extra team 21467,70.26,
Extra team 21468,64.91,
Extra team 21469,35.95,
Extra team 21470,42.2,
Extra team 21471,21.32,
Extra team 21472,1.91,
